Date,Temperature,Humidity,Precipitation,WindSpeed,Weather
2025-03-08,35.7,61,5.1,24.7,Sunny
2025-03-09,34.2,40,7.2,11.0,Sunny
2025-03-10,34.3,68,0.3,7.3,Sunny
2025-03-11,29.9,56,1.7,17.1,Sunny
2025-03-12,34.7,46,5.3,10.3,Sunny
2025-03-13,32.9,67,7.5,6.8,Sunny
2025-03-14,32.4,48,0.0,20.4,Sunny
2025-03-15,34.1,47,6.4,16.0,Sunny
2025-03-16,32.4,40,0.0,22.7,Sunny
2025-03-17,36.2,56,7.3,16.7,Sunny
2025-03-18,30.2,43,2.1,23.0,Sunny
2025-03-19,35.4,65,8.0,9.2,Sunny
2025-03-20,31.0,43,6.8,22.7,Sunny
2025-03-21,32.3,58,0.5,23.6,Sunny
2025-03-22,35.9,69,7.1,22.6,Sunny
2025-03-23,29.2,62,2.3,23.6,Sunny
2025-03-24,35.4,65,7.1,10.3,Sunny
2025-03-25,35.3,43,7.7,22.2,Sunny
2025-03-26,30.8,64,3.6,11.1,Sunny
2025-03-27,35.4,46,0.0,8.9,Sunny
2025-03-28,31.6,65,8.7,10.6,Sunny
2025-03-29,34.1,51,8.8,15.7,Sunny
2025-03-30,36.5,43,8.7,8.6,Sunny
2025-03-31,36.7,47,0.1,13.7,Sunny
2025-04-01,34.8,49,5.1,15.2,Sunny
2025-04-02,32.1,57,1.5,19.2,Sunny
2025-04-03,29.0,67,4.4,19.4,Sunny
2025-04-04,34.9,60,2.6,6.4,Sunny
2025-04-05,34.3,49,2.1,22.0,Sunny
2025-04-06,34.8,49,2.1,13.2,Sunny
2025-04-07,32.2,48,0.3,13.4,Sunny
2025-04-08,36.5,60,8.0,17.3,Sunny
2025-04-09,31.4,56,0.0,10.7,Sunny
2025-04-10,32.4,57,5.5,14.3,Sunny
2025-04-11,32.5,46,3.7,23.0,Sunny
2025-04-12,35.4,45,0.0,15.3,Sunny
2025-04-13,34.1,50,7.2,20.0,Sunny
2025-04-14,34.4,46,1.0,5.5,Sunny
2025-04-15,31.0,54,7.5,6.5,Sunny
2025-04-16,32.3,58,0.9,18.9,Sunny
2025-04-17,33.0,47,5.6,5.1,Sunny
2025-04-18,35.0,63,0.1,13.5,Sunny
2025-04-19,30.4,68,4.2,6.0,Sunny
2025-04-20,31.0,65,3.6,21.0,Sunny
2025-04-21,34.3,69,5.0,24.0,Sunny
2025-04-22,36.1,58,6.2,15.1,Sunny
2025-04-23,35.6,56,8.0,19.9,Sunny
2025-04-24,32.8,47,1.5,17.8,Sunny
2025-04-25,35.1,55,5.3,10.5,Sunny
2025-04-26,29.6,48,1.7,11.4,Sunny
2025-04-27,33.3,44,1.3,18.9,Sunny
2025-04-28,34.7,41,3.1,15.9,Sunny
2025-04-29,32.3,46,3.2,23.1,Sunny
2025-04-30,33.7,60,7.6,20.3,Sunny
2025-05-01,32.0,40,2.5,20.1,Sunny
2025-05-02,35.8,68,3.2,20.0,Sunny
2025-05-03,33.4,58,1.2,9.4,Sunny
2025-05-04,32.5,40,2.4,18.6,Sunny
2025-05-05,32.2,44,3.7,7.6,Sunny
2025-05-06,34.0,40,2.9,16.3,Sunny
2025-05-07,29.2,59,0.4,14.2,Sunny
2025-05-08,29.4,51,1.1,11.5,Sunny
2025-05-09,35.1,51,6.5,21.6,Sunny
2025-05-10,31.0,42,0.0,15.8,Sunny
2025-05-11,37.0,50,5.5,20.6,Sunny
2025-05-12,34.2,62,8.5,9.0,Sunny
2025-05-13,29.2,44,0.3,18.4,Sunny
2025-05-14,33.5,46,6.0,20.3,Sunny
2025-05-15,30.3,58,6.5,7.3,Sunny
2025-05-16,35.6,68,0.1,5.5,Sunny
2025-05-17,31.5,60,8.6,12.9,Sunny
2025-05-18,34.7,42,5.9,17.5,Sunny
2025-05-19,29.8,63,7.5,17.0,Sunny
2025-05-20,30.0,69,6.8,11.9,Sunny
2025-05-21,32.4,51,4.1,11.8,Sunny
2025-05-22,35.8,64,0.1,24.2,Sunny
2025-05-23,34.1,64,6.1,13.7,Sunny
2025-05-24,34.9,68,1.7,21.2,Sunny
2025-05-25,33.3,54,3.4,19.6,Sunny
2025-05-26,31.1,65,7.3,6.7,Sunny
2025-05-27,36.1,47,3.6,17.2,Sunny
2025-05-28,32.0,40,7.5,8.6,Sunny
2025-05-29,30.7,63,2.4,22.6,Sunny
2025-05-30,34.6,48,0.0,24.0,Sunny
2025-05-31,29.7,61,3.9,20.2,Sunny
2025-06-01,28.5,79,14.9,20.9,Rainy
2025-06-02,23.7,66,16.9,11.1,Rainy
2025-06-03,27.7,74,15.3,13.5,Rainy
2025-06-04,29.0,69,17.0,10.4,Rainy
2025-06-05,25.0,63,11.9,7.4,Rainy
2025-06-06,27.3,82,11.9,9.3,Rainy
2025-06-07,26.9,81,19.8,15.5,Rainy
2025-06-08,25.3,63,11.9,9.5,Rainy
2025-06-09,24.4,60,15.3,10.5,Rainy
2025-06-10,30.8,76,17.0,7.5,Rainy
2025-06-11,29.9,74,18.7,16.5,Rainy
2025-06-12,26.8,73,11.8,6.0,Rainy
2025-06-13,30.5,74,18.2,13.0,Rainy
2025-06-14,23.6,78,10.5,8.0,Rainy
2025-06-15,27.5,69,19.9,7.4,Rainy
2025-06-16,29.1,78,17.9,9.5,Rainy
2025-06-17,27.2,73,14.4,22.2,Rainy
2025-06-18,30.9,69,16.2,17.2,Rainy
2025-06-19,28.9,88,12.1,9.2,Rainy
2025-06-20,28.3,64,11.7,6.5,Rainy
2025-06-21,23.0,73,15.9,10.8,Rainy
2025-06-22,24.9,81,17.0,14.1,Rainy
2025-06-23,28.5,87,17.9,17.5,Rainy
2025-06-24,28.3,88,14.3,15.9,Rainy
2025-06-25,28.2,87,18.3,6.4,Rainy
2025-06-26,24.3,69,17.5,16.4,Rainy
2025-06-27,25.3,63,16.9,19.0,Rainy
2025-06-28,30.5,75,14.9,6.6,Rainy
2025-06-29,23.3,72,13.2,10.0,Rainy
2025-06-30,23.7,88,18.4,16.5,Rainy
2025-07-01,30.6,89,16.7,10.4,Rainy
2025-07-02,23.3,82,14.7,18.0,Rainy
2025-07-03,30.3,65,15.9,17.7,Rainy
2025-07-04,26.9,62,13.5,11.7,Rainy
2025-07-05,28.4,85,13.3,18.9,Rainy
2025-07-06,25.3,88,18.1,16.0,Rainy
2025-07-07,26.6,69,13.2,24.4,Rainy
2025-07-08,26.2,75,19.9,18.2,Rainy
2025-07-09,27.3,72,11.9,12.2,Rainy
2025-07-10,29.1,78,17.6,9.1,Rainy
2025-07-11,27.4,87,14.4,19.0,Rainy
2025-07-12,24.0,89,16.1,9.8,Rainy
2025-07-13,24.3,76,15.5,6.9,Rainy
2025-07-14,30.9,87,14.6,7.3,Rainy
2025-07-15,29.7,74,17.2,15.2,Rainy
2025-07-16,25.2,85,19.8,9.9,Rainy
2025-07-17,27.4,71,19.2,15.2,Rainy
2025-07-18,30.0,85,12.8,20.8,Rainy
2025-07-19,26.3,88,15.1,21.4,Rainy
2025-07-20,25.3,68,15.9,25.0,Rainy
2025-07-21,26.9,64,15.4,11.9,Rainy
2025-07-22,27.4,76,14.6,11.4,Rainy
2025-07-23,24.5,80,15.7,9.7,Rainy
2025-07-24,29.2,61,17.4,19.1,Rainy
2025-07-25,29.5,71,16.6,21.4,Rainy
2025-07-26,30.8,74,10.4,15.0,Rainy
2025-07-27,27.7,86,18.7,13.8,Rainy
2025-07-28,27.2,73,17.2,13.2,Rainy
2025-07-29,28.2,64,14.7,24.4,Rainy
2025-07-30,25.7,80,16.5,22.0,Rainy
2025-07-31,29.8,85,13.8,11.3,Rainy
2025-08-01,28.7,82,18.7,5.7,Rainy
2025-08-02,23.5,78,19.2,24.9,Rainy
2025-08-03,29.0,73,11.0,17.7,Rainy
2025-08-04,30.0,73,16.9,23.1,Rainy
2025-08-05,23.4,83,12.9,12.5,Rainy
2025-08-06,24.2,75,15.7,20.9,Rainy
2025-08-07,24.4,62,18.7,17.4,Rainy
2025-08-08,24.9,87,11.4,14.2,Rainy
2025-08-09,25.0,67,10.1,21.1,Rainy
2025-08-10,30.2,80,11.6,13.8,Rainy
2025-08-11,25.8,77,16.4,13.5,Rainy
2025-08-12,25.0,85,12.0,12.7,Rainy
2025-08-13,26.9,67,15.7,16.5,Rainy
2025-08-14,30.9,68,19.8,18.2,Rainy
2025-08-15,25.2,76,16.9,19.9,Rainy
2025-08-16,23.4,78,15.0,23.1,Rainy
2025-08-17,25.3,83,16.1,12.0,Rainy
2025-08-18,28.1,78,16.8,19.4,Rainy
2025-08-19,28.3,85,16.3,23.1,Rainy
2025-08-20,28.2,69,14.4,16.6,Rainy
2025-08-21,28.9,62,13.0,19.9,Rainy
2025-08-22,24.4,63,15.4,24.4,Rainy
2025-08-23,27.2,87,18.3,10.1,Rainy
2025-08-24,29.6,74,18.1,19.9,Rainy
2025-08-25,25.7,63,19.6,7.8,Rainy
2025-08-26,30.7,85,17.2,24.6,Rainy
2025-08-27,30.7,84,13.7,20.8,Rainy
2025-08-28,23.1,76,14.5,18.5,Rainy
2025-08-29,28.4,77,18.2,23.8,Rainy
2025-08-30,23.9,67,10.3,22.7,Rainy
2025-08-31,27.5,87,12.2,6.3,Rainy
2025-09-01,29.6,87,13.0,13.2,Rainy
2025-09-02,24.1,88,13.0,14.9,Rainy
2025-09-03,23.8,86,11.4,14.1,Rainy
2025-09-04,28.4,82,19.5,13.4,Rainy
2025-09-05,28.9,64,14.1,7.0,Rainy
2025-09-06,26.9,72,19.5,5.7,Rainy
2025-09-07,26.0,73,19.5,22.1,Rainy
2025-09-08,23.8,80,15.4,24.6,Rainy
2025-09-09,25.9,71,11.9,7.4,Rainy
2025-09-10,29.8,73,16.6,17.8,Rainy
2025-09-11,27.8,60,17.9,9.9,Rainy
2025-09-12,24.0,76,10.7,20.3,Rainy
2025-09-13,24.7,66,18.7,11.6,Rainy
2025-09-14,24.2,87,10.0,22.2,Cloudy
2025-09-15,24.2,63,12.5,8.5,Rainy
2025-09-16,28.3,60,10.1,20.8,Rainy
2025-09-17,24.9,69,11.7,6.0,Rainy
2025-09-18,28.9,75,17.5,14.5,Rainy
2025-09-19,29.2,75,11.1,15.1,Rainy
2025-09-20,30.6,61,17.8,22.3,Rainy
2025-09-21,27.2,73,19.6,6.2,Rainy
2025-09-22,26.8,72,16.9,14.8,Rainy
2025-09-23,30.3,62,10.8,17.2,Rainy
2025-09-24,23.5,68,16.3,16.0,Rainy
2025-09-25,25.6,89,15.3,14.1,Rainy
2025-09-26,27.8,62,17.0,22.1,Rainy
2025-09-27,28.2,83,17.2,9.3,Rainy
2025-09-28,26.6,66,13.4,14.1,Rainy
2025-09-29,26.3,62,14.3,18.3,Rainy
2025-09-30,26.0,64,19.2,6.3,Rainy
2025-10-01,27.7,42,3.0,19.8,Sunny
2025-10-02,27.5,56,7.9,16.2,Sunny
2025-10-03,23.6,43,5.5,18.3,Sunny
2025-10-04,27.0,66,9.2,24.4,Sunny
2025-10-05,25.8,50,7.8,9.3,Sunny
2025-10-06,26.3,46,3.1,21.9,Sunny
2025-10-07,23.9,62,7.7,21.1,Sunny
2025-10-08,27.8,69,10.2,17.3,Rainy
2025-10-09,26.1,40,11.3,21.6,Rainy
2025-10-10,23.1,45,9.0,11.2,Sunny
2025-10-11,23.7,40,10.7,16.3,Rainy
2025-10-12,24.2,44,8.3,5.6,Sunny
2025-10-13,27.0,46,6.2,11.8,Sunny
2025-10-14,24.0,61,9.8,16.4,Sunny
2025-10-15,21.7,41,3.6,17.4,Sunny
2025-10-16,26.4,48,8.6,14.7,Sunny
2025-10-17,24.5,48,9.5,7.3,Sunny
2025-10-18,24.4,48,8.8,14.7,Sunny
2025-10-19,26.3,41,6.0,17.0,Sunny
2025-10-20,21.1,49,4.1,7.7,Sunny
2025-10-21,23.0,49,2.1,19.9,Sunny
2025-10-22,22.4,51,9.0,15.0,Sunny
2025-10-23,27.7,64,2.7,22.2,Sunny
2025-10-24,21.3,40,11.2,22.2,Rainy
2025-10-25,25.6,57,9.1,13.4,Sunny
2025-10-26,21.9,40,5.2,21.0,Sunny
2025-10-27,25.9,64,11.2,6.8,Rainy
2025-10-28,27.8,47,7.9,15.5,Sunny
2025-10-29,24.2,49,5.4,11.7,Sunny
2025-10-30,22.3,55,3.1,15.2,Sunny
2025-10-31,28.2,50,9.3,21.4,Sunny
2025-11-01,27.5,47,3.5,8.9,Sunny
2025-11-02,25.8,62,8.6,8.5,Sunny
2025-11-03,27.2,54,9.5,20.2,Sunny
2025-11-04,24.6,67,7.6,17.7,Sunny
2025-11-05,26.0,65,8.3,8.0,Sunny
2025-11-06,21.5,53,5.0,10.5,Sunny
2025-11-07,21.4,55,5.1,14.0,Sunny
2025-11-08,21.5,64,2.8,22.3,Sunny
2025-11-09,27.8,58,7.1,14.3,Sunny
2025-11-10,25.4,63,11.0,14.0,Rainy
2025-11-11,27.5,59,5.2,14.5,Sunny
2025-11-12,22.2,41,3.0,23.0,Sunny
2025-11-13,23.7,61,7.0,8.5,Sunny
2025-11-14,23.0,53,6.4,15.5,Sunny
2025-11-15,22.3,51,4.8,13.2,Sunny
2025-11-16,23.7,57,9.9,17.9,Sunny
2025-11-17,21.5,42,8.8,10.7,Sunny
2025-11-18,26.8,59,11.1,22.5,Rainy
2025-11-19,23.7,57,3.4,12.0,Sunny
2025-11-20,28.7,60,5.9,16.9,Sunny
2025-11-21,28.5,49,5.8,20.8,Sunny
2025-11-22,27.5,60,10.3,19.8,Rainy
2025-11-23,26.5,55,8.5,13.5,Sunny
2025-11-24,23.9,50,3.8,9.3,Sunny
2025-11-25,28.6,54,4.3,7.8,Sunny
2025-11-26,21.6,65,3.0,20.4,Sunny
2025-11-27,27.7,66,2.4,11.7,Sunny
2025-11-28,27.1,43,5.8,8.2,Sunny
2025-11-29,27.7,63,10.1,8.3,Rainy
2025-11-30,24.5,52,8.8,9.8,Sunny
2025-12-01,17.6,48,7.5,14.0,Sunny
2025-12-02,18.3,49,8.1,14.4,Sunny
2025-12-03,20.7,51,9.5,24.7,Sunny
2025-12-04,17.7,48,3.8,15.5,Sunny
2025-12-05,21.7,64,8.0,7.8,Sunny
2025-12-06,16.0,59,8.7,16.1,Sunny
2025-12-07,14.8,65,8.5,10.7,Sunny
2025-12-08,20.1,48,9.1,7.9,Sunny
2025-12-09,17.5,68,2.2,14.0,Sunny
2025-12-10,16.8,40,0.5,15.0,Sunny
2025-12-11,15.9,69,3.7,5.6,Sunny
2025-12-12,21.4,65,6.5,20.8,Sunny
2025-12-13,15.1,48,8.3,18.9,Sunny
2025-12-14,15.1,61,4.5,5.1,Sunny
2025-12-15,14.6,47,8.3,16.0,Sunny
2025-12-16,19.8,55,1.1,10.8,Sunny
2025-12-17,16.4,41,4.2,20.9,Sunny
2025-12-18,17.7,43,9.1,16.9,Sunny
2025-12-19,14.1,55,2.4,7.9,Sunny
2025-12-20,17.4,58,2.4,13.3,Sunny
2025-12-21,19.3,42,9.7,6.4,Sunny
2025-12-22,18.2,55,9.9,16.1,Sunny
2025-12-23,17.1,54,6.4,24.6,Sunny
2025-12-24,16.0,40,7.9,11.9,Sunny
2025-12-25,19.9,58,7.7,19.7,Sunny
2025-12-26,16.7,41,5.5,21.3,Sunny
2025-12-27,15.4,63,4.6,18.9,Sunny
2025-12-28,19.1,64,0.6,20.5,Sunny
2025-12-29,17.7,48,0.4,9.0,Sunny
2025-12-30,14.3,68,5.2,24.8,Sunny
2025-12-31,18.3,47,7.5,8.8,Sunny
