Customer_ID,Age,Gender,City,Employment_Type,Annual_Income,Loan_Amount,Loan_Purpose,Credit_Score,Loan_Tenure_Years,EMI_Amount,Payment_History,Loan_Status
CUST00562,30,Male,Jaipur,Self-Employed,451351,616510,Car Loan,763,11,4670.53,Good,Approved
CUST00112,43,Female,Bangalore,Freelancer,1042981,1734449,Education Loan,581,6,24089.57,Delayed,Rejected
CUST01023,48,Male,Delhi,Freelancer,2055227,3932506,Car Loan,532,9,36412.09,Excellent,Rejected
CUST00240,56,Male,Delhi,Freelancer,2133731,4958951,Car Loan,777,11,37567.81,Missed,Defaulted
CUST01212,30,Male,Ahmedabad,Freelancer,2395690,1634645,Education Loan,682,3,45406.81,Delayed,Approved
CUST00129,47,Male,Jaipur,Freelancer,1505487,1596933,Home Loan,339,10,13307.78,Missed,Defaulted
CUST01972,56,Female,Jaipur,Self-Employed,1034440,4739133,Education Loan,844,13,30379.06,Missed,Defaulted
CUST01950,39,Female,Hyderabad,Self-Employed,2214017,1252532,Business Loan,786,3,34792.56,Excellent,Approved
CUST00508,33,Female,Bangalore,Salaried,1939461,4736134,Business Loan,772,17,23216.34,Excellent,Approved
CUST01905,22,Male,Chennai,Freelancer,320076,2158701,Home Loan,865,18,9993.99,Missed,Defaulted
CUST01259,22,Male,Chennai,Business Owner,488816,2251016,Personal Loan,385,1,187584.67,Good,Defaulted
CUST01960,42,Female,Bangalore,Salaried,1721722,2118884,Home Loan,877,16,11035.85,Good,Approved
CUST00707,55,Male,Bangalore,Self-Employed,2331018,2782406,Personal Loan,693,13,17835.94,Delayed,Rejected
CUST01826,56,Female,Ahmedabad,Freelancer,,2927668,Home Loan,424,18,13554.02,Missed,Defaulted
CUST01672,59,Male,Mumbai,Business Owner,1294409,516995,Business Loan,798,1,43082.92,Missed,Defaulted
CUST00520,40,Male,Lucknow,Business Owner,,4524843,Car Loan,647,19,19845.8,Good,Defaulted
CUST00987,51,Male,Chennai,Salaried,2430393,1756930,Home Loan,468,8,18301.35,Excellent,Defaulted
CUST00941,29,Male,Delhi,Self-Employed,1234262,1646246,Education Loan,357,13,10552.86,Missed,Defaulted
CUST01827,58,Female,Bangalore,Freelancer,1674620,856017,Education Loan,378,13,5487.29,Excellent,Defaulted
CUST00904,64,Male,Ahmedabad,Self-Employed,1719825,192157,Education Loan,391,14,1143.79,Excellent,Defaulted
CUST01108,61,Female,Lucknow,Self-Employed,1780932,4078604,Home Loan,368,4,84970.92,Good,Defaulted
CUST01064,47,Female,Kolkata,Freelancer,,2416304,Car Loan,328,17,11844.63,Good,Defaulted
CUST00368,44,Male,Kolkata,Business Owner,615384,4890349,Car Loan,722,16,25470.57,Delayed,Defaulted
CUST00367,53,Female,Lucknow,Self-Employed,1424648,1570180,Car Loan,828,1,130848.33,Excellent,Approved
CUST01422,34,Female,Kolkata,Business Owner,1594316,3269598,Education Loan,404,12,22705.54,,Defaulted
CUST00675,22,Male,Chennai,Business Owner,1649796,2730259,Personal Loan,560,12,18960.13,Excellent,Rejected
CUST01813,59,Male,Kolkata,Freelancer,970692,1930164,Car Loan,655,9,17871.89,Delayed,Rejected
CUST01513,57,Female,Hyderabad,Freelancer,1595796,2546589,Personal Loan,379,18,11789.76,Delayed,Defaulted
CUST00597,34,Female,Lucknow,Salaried,1838497,3760879,Car Loan,391,6,52234.43,Missed,Defaulted
CUST01197,59,Male,Mumbai,Business Owner,1748485,741252,Home Loan,787,7,8824.43,Delayed,Approved
CUST01527,52,Female,Mumbai,Business Owner,1731064,3604184,Education Loan,389,15,20023.24,Excellent,Defaulted
CUST00465,22,Female,Jaipur,Self-Employed,1538486,4511213,Business Loan,802,15,25062.29,Good,Approved
CUST01677,59,Male,Mumbai,Self-Employed,1863129,3424775,Personal Loan,499,15,19026.53,Good,Defaulted
CUST01803,29,Female,Mumbai,Freelancer,1945030,4336476,Business Loan,700,5,72274.6,Excellent,Rejected
CUST01053,30,Male,Chennai,Business Owner,238635,1440598,Personal Loan,596,13,9234.6,Good,Defaulted
CUST01975,32,Male,Mumbai,Salaried,1697404,948704,Personal Loan,500,12,6588.22,Excellent,Rejected
CUST00486,28,Male,Bangalore,Business Owner,2373408,942015,Home Loan,818,14,5607.23,Delayed,Approved
CUST00916,41,Male,Jaipur,Self-Employed,884029,103687,Personal Loan,841,11,785.51,Excellent,Approved
CUST01265,61,Male,Ahmedabad,Self-Employed,393069,2487587,Home Loan,399,2,103649.46,Excellent,Defaulted
CUST00679,38,Male,Mumbai,Salaried,,4862066,Education Loan,720,3,135057.39,Excellent,Defaulted
CUST00830,38,Female,Bangalore,Business Owner,562455,3654724,Personal Loan,765,17,17915.31,Good,Defaulted
CUST00923,36,Male,Delhi,Business Owner,1192382,2069450,Education Loan,361,1,172454.17,Missed,Defaulted
CUST01113,51,Female,Pune,Salaried,1587784,2942531,Business Loan,519,11,22291.9,Delayed,Rejected
CUST00619,24,Male,Delhi,,489768,3913741,Home Loan,648,1,326145.08,Missed,Defaulted
CUST00772,40,Male,Mumbai,Freelancer,1384141,1747818,Education Loan,846,4,36412.88,Good,Approved
CUST01287,30,Male,Ahmedabad,Self-Employed,2411549,2065726,Personal Loan,573,13,13241.83,,Rejected
CUST01545,45,Female,Jaipur,Freelancer,515018,3758201,Business Loan,844,7,44740.49,Excellent,Defaulted
CUST00594,60,Female,Pune,Business Owner,1771951,2760864,Home Loan,,9,25563.56,Excellent,Rejected
CUST00116,56,Male,Mumbai,Salaried,1748075,3049610,Personal Loan,450,16,15883.39,Delayed,Defaulted
CUST00768,24,Male,Jaipur,Salaried,1458870,1966334,Car Loan,748,4,40965.29,Good,Approved
CUST01858,33,Female,Jaipur,Self-Employed,1098332,4586857,Car Loan,502,13,29402.93,Missed,Defaulted
CUST00901,32,Female,Hyderabad,Self-Employed,455948,3096555,Car Loan,612,19,13581.38,Missed,Defaulted
CUST01947,40,Female,Kolkata,Self-Employed,880667,739925,Home Loan,752,11,5605.49,Good,Approved
CUST01441,56,Male,Chennai,Salaried,306611,3829044,Personal Loan,454,7,45583.86,Good,Defaulted
CUST01791,27,Male,Lucknow,Business Owner,1843707,4643321,Business Loan,888,6,64490.57,Delayed,Approved
CUST00889,47,Female,Ahmedabad,Salaried,485521,1302390,Car Loan,471,16,6783.28,Missed,Defaulted
CUST00212,30,Male,Mumbai,Salaried,451537,2434775,Personal Loan,469,9,22544.21,Missed,Defaulted
CUST00451,23,Male,Mumbai,Salaried,1782460,594026,Education Loan,477,6,8250.36,Excellent,Defaulted
CUST01177,44,Male,Lucknow,Self-Employed,1098488,521761,Business Loan,359,10,4348.01,Missed,Defaulted
CUST00706,47,Male,Bangalore,Freelancer,868590,3061165,Home Loan,570,17,15005.71,Missed,Defaulted
CUST01286,23,Female,Ahmedabad,Salaried,1115113,1693083,Business Loan,528,3,47030.08,Excellent,Rejected
CUST01095,50,Female,Delhi,Salaried,518766,4266794,Business Loan,316,8,44445.77,Good,Defaulted
CUST00211,54,Male,Pune,Salaried,752467,402365,Education Loan,550,12,2794.2,Good,Rejected
CUST00121,26,Male,Mumbai,Business Owner,471830,1035257,Car Loan,696,17,5074.79,Missed,Defaulted
CUST01376,37,Male,Delhi,Self-Employed,2021367,2978785,Car Loan,489,15,16548.81,Missed,Defaulted
CUST01641,36,Male,Lucknow,Salaried,1190029,1913907,Personal Loan,412,6,26582.04,Missed,Defaulted
CUST01714,63,Female,Hyderabad,Freelancer,2491136,4077187,Car Loan,826,12,28313.8,Missed,Defaulted
CUST00298,55,Female,Hyderabad,Self-Employed,1252207,3250450,Education Loan,873,7,38695.83,Delayed,Approved
CUST00788,47,Female,Jaipur,Business Owner,2124717,4635315,Personal Loan,781,4,96569.06,Excellent,Approved
CUST00136,51,Male,Hyderabad,Business Owner,2484146,50917,Education Loan,325,16,265.19,Delayed,Defaulted
CUST00484,55,Female,Ahmedabad,Salaried,861616,347584,Car Loan,631,9,3218.37,Missed,Defaulted
CUST01934,62,Female,Pune,Salaried,1429458,271421,Home Loan,655,6,3769.74,Delayed,Rejected
CUST00299,42,Male,Ahmedabad,Self-Employed,504224,2329042,Home Loan,778,19,10215.1,Good,Rejected
CUST00395,49,Female,Jaipur,Salaried,651157,4695287,Education Loan,718,2,195636.96,Delayed,Defaulted
CUST01165,64,Male,Pune,Salaried,2174324,1778782,Personal Loan,826,19,7801.68,Excellent,Approved
CUST01345,44,Female,Kolkata,Salaried,1796853,1538303,Education Loan,620,3,42730.64,Delayed,Rejected
CUST00803,35,Female,Delhi,Salaried,1569363,4772340,Education Loan,754,5,79539,Good,Approved
CUST00985,50,Male,Lucknow,Salaried,982877,2216791,Personal Loan,712,1,184732.58,Good,Approved
CUST00110,56,Female,Mumbai,Freelancer,1547098,1972967,Home Loan,784,10,16441.39,Excellent,Approved
CUST00991,50,Female,Chennai,Self-Employed,1934339,1859771,Education Loan,837,19,8156.89,Good,Approved
CUST00620,37,Female,Delhi,Business Owner,2468185,194771,Car Loan,481,6,2705.15,Missed,Defaulted
CUST00555,31,Male,Delhi,,2292101,3073504,Car Loan,536,13,19701.95,Delayed,Rejected
CUST00423,26,Male,Ahmedabad,Business Owner,,2067337,Education Loan,478,10,17227.81,Excellent,Defaulted
CUST00760,37,Male,Mumbai,Business Owner,614994,3000214,Personal Loan,416,17,14706.93,Excellent,Defaulted
CUST00600,54,Male,Delhi,Business Owner,2390421,2209932,Home Loan,488,13,14166.23,Missed,Defaulted
CUST01010,50,Male,Mumbai,Freelancer,1974329,2724415,Car Loan,724,12,18919.55,Good,Approved
CUST00234,49,Male,Kolkata,Self-Employed,1109711,3951403,Business Loan,379,13,25329.51,Excellent,Defaulted
CUST01489,34,Male,Hyderabad,Self-Employed,1624663,819565,Car Loan,538,17,4017.48,Missed,Defaulted
CUST00603,53,Male,Mumbai,Business Owner,2445218,3584150,Business Loan,427,18,16593.29,Missed,Defaulted
CUST00967,44,Male,Delhi,Business Owner,1758309,4175279,Personal Loan,577,9,38659.99,Delayed,Rejected
CUST01176,54,Male,Kolkata,Self-Employed,1076110,878282,Education Loan,752,2,36595.08,Missed,Defaulted
CUST00307,56,Male,Chennai,Salaried,1927408,375437,Home Loan,745,9,3476.27,Missed,Defaulted
CUST00368,44,Male,Kolkata,Business Owner,615384,4890349,Car Loan,722,16,25470.57,Delayed,Defaulted
CUST00758,52,Female,Delhi,Self-Employed,715693,859359,Home Loan,876,6,11935.54,Missed,Defaulted
CUST01984,47,Male,Hyderabad,Salaried,1731583,3619769,Business Loan,619,16,18852.96,Good,Approved
CUST01583,50,Male,Delhi,Business Owner,512863,1517256,Business Loan,553,6,21073,Missed,Defaulted
CUST01074,47,Female,Ahmedabad,Business Owner,1222892,3327746,Personal Loan,531,13,21331.71,Missed,Defaulted
CUST01745,33,Male,Mumbai,Business Owner,2357280,781636,Personal Loan,309,3,21712.11,Delayed,Defaulted
CUST00621,44,Male,Kolkata,Self-Employed,1761456,1058923,Personal Loan,478,13,6787.97,Missed,Defaulted
CUST00888,27,Female,Delhi,Freelancer,2364563,2233955,Personal Loan,,8,23270.36,Good,Rejected
CUST00539,44,Male,Mumbai,Salaried,1167561,3905798,Home Loan,652,16,20342.7,Missed,Defaulted
CUST00238,51,Female,Chennai,Salaried,1160612,2716981,Car Loan,751,2,113207.54,Good,Approved
CUST01721,30,Male,Mumbai,Freelancer,846047,2704074,Car Loan,722,10,22533.95,Delayed,Rejected
CUST00940,50,Male,Lucknow,Salaried,,4019579,Car Loan,880,5,66992.98,Delayed,Rejected
CUST00221,24,Male,Kolkata,Self-Employed,2296594,763340,Education Loan,498,17,3741.86,Missed,Defaulted
CUST01978,35,Male,Mumbai,Self-Employed,,4452910,Home Loan,693,14,26505.42,Excellent,Approved
CUST01931,27,Female,Kolkata,Salaried,1714101,1434525,Home Loan,884,13,9195.67,Missed,Defaulted
CUST00695,22,Male,Delhi,Freelancer,390237,4028966,Home Loan,832,16,20984.2,Excellent,Defaulted
CUST01106,43,Male,Bangalore,Business Owner,1368932,1613825,Car Loan,384,19,7078.18,Excellent,Defaulted
CUST00711,26,Male,Mumbai,Self-Employed,1716450,3957297,Personal Loan,,11,29979.52,Good,Rejected
CUST00631,49,Male,Ahmedabad,Freelancer,1150162,4717592,Personal Loan,710,12,32761.06,Missed,Defaulted
CUST00977,60,Female,Ahmedabad,Business Owner,1028791,4016914,Personal Loan,580,12,27895.24,Good,Rejected
CUST01766,56,Female,Pune,Salaried,600826,3437990,Home Loan,767,12,23874.93,Delayed,Rejected
CUST00998,43,Male,Bangalore,Freelancer,1132477,187900,Car Loan,,16,978.65,Good,Rejected
CUST00050,56,Male,Kolkata,Freelancer,2462292,4653623,Personal Loan,409,14,27700.14,Delayed,Defaulted
CUST00232,22,Male,Bangalore,Freelancer,2175154,4030053,Personal Loan,679,1,335837.75,Delayed,Approved
CUST00430,42,Male,Mumbai,Self-Employed,1907017,600242,Home Loan,466,15,3334.68,Delayed,Defaulted
CUST00276,62,Male,Hyderabad,Salaried,1384446,3871615,Education Loan,845,16,20164.66,Delayed,Approved
CUST01608,41,Female,Chennai,Self-Employed,1042840,4931539,Business Loan,415,2,205480.79,Excellent,Defaulted
CUST01650,46,Male,Lucknow,Freelancer,770508,4714759,Personal Loan,427,10,39289.66,Missed,Defaulted
CUST01134,50,Female,Pune,Self-Employed,2009595,2317357,Business Loan,622,14,13793.79,Delayed,Approved
CUST01685,33,Female,Ahmedabad,Salaried,1968555,4969831,Business Loan,592,10,41415.26,Missed,Defaulted
CUST01515,59,Male,Ahmedabad,Business Owner,2335730,1213951,Car Loan,776,10,10116.26,Good,Approved
CUST00174,45,Male,Kolkata,Business Owner,867689,3181603,Car Loan,404,17,15596.09,Delayed,Defaulted
CUST01199,30,Female,Chennai,,1107211,176202,Car Loan,372,18,815.75,Good,Defaulted
CUST01190,23,Female,Chennai,Business Owner,402346,2880514,Education Loan,697,18,13335.71,Delayed,Defaulted
CUST01844,51,Male,Lucknow,Freelancer,2314565,2083764,Business Loan,445,6,28941.17,Excellent,Defaulted
CUST01687,36,Male,Delhi,Self-Employed,1481506,1857317,Home Loan,610,17,9104.5,Good,Rejected
CUST00866,52,Female,Bangalore,,2332786,3962487,Home Loan,688,3,110069.08,Good,Approved
CUST00248,58,Male,Delhi,Business Owner,1014037,546440,Personal Loan,768,11,4139.7,Excellent,Approved
CUST01508,62,Male,Pune,Business Owner,,2538144,Education Loan,417,8,26439,Good,Defaulted
CUST01454,30,Female,Chennai,Business Owner,1991376,296331,Car Loan,498,9,2743.81,Delayed,Defaulted
CUST00024,54,Female,Delhi,Salaried,900336,1820394,Education Loan,593,1,151699.5,Good,Rejected
CUST01569,43,Female,Hyderabad,Freelancer,2048058,2845766,Business Loan,681,18,13174.84,Missed,Defaulted
CUST00943,62,Female,Bangalore,Salaried,215434,4955727,Personal Loan,629,13,31767.48,Good,Defaulted
CUST00064,31,Female,Ahmedabad,Business Owner,,3271131,Business Loan,557,11,24781.3,Good,Rejected
CUST00306,25,Female,Lucknow,Freelancer,948321,4121495,Car Loan,605,3,114485.97,Excellent,Rejected
CUST00189,44,Male,Lucknow,Self-Employed,1690687,3152641,Car Loan,514,9,29191.12,Excellent,Rejected
CUST01871,22,Female,Chennai,Salaried,1720373,2205138,Home Loan,694,11,16705.59,Excellent,Approved
CUST01319,37,Male,Kolkata,Business Owner,2192503,1989983,Business Loan,525,6,27638.65,Good,Rejected
CUST01901,59,Male,Delhi,Freelancer,2390652,508819,Home Loan,886,3,14133.86,Excellent,Approved
CUST00927,51,Female,Kolkata,Freelancer,,3578434,Personal Loan,836,10,29820.28,Excellent,Rejected
CUST00942,32,Male,Jaipur,Business Owner,2379431,1869239,Business Loan,405,1,155769.92,Excellent,Defaulted
CUST00810,47,Female,Kolkata,Self-Employed,2000072,447891,Education Loan,355,18,2073.57,Missed,Defaulted
