Movie,Year,Genre,Director,Rating,Budget,Revenue
Movie_74,2025,Thriller,S.S. Rajamouli,7.8,221000000,970224447
Movie_75,2014,Sci-Fi,Greta Gerwig,7.0,91000000,209061718
Movie_76,2016,Action,James Cameron,5.6,150000000,359061092
Movie_77,2006,Drama,Quentin Tarantino,9.2,164000000,494538741
Movie_78,2014,Action,S.S. Rajamouli,6.3,157000000,384579514
Movie_79,2013,Romance,Martin Scorsese,9.7,300000000,599122622
Movie_80,2006,Horror,Greta Gerwig,7.0,20000000,40814626
Movie_81,2007,Adventure,Denis Villeneuve,7.7,122000000,209628178
Movie_82,2005,Drama,Denis Villeneuve,9.0,93000000,211871793
Movie_83,2006,Thriller,Christopher Nolan,6.8,139000000,154649458
Movie_84,2021,Comedy,Zoya Akhtar,7.2,186000000,644770098
Movie_85,2020,Comedy,Denis Villeneuve,8.6,94000000,90429489
Movie_86,2021,Thriller,Rajkumar Hirani,6.1,288000000,1032655244
Movie_87,2023,Action,Zoya Akhtar,8.9,137000000,152732984
Movie_88,2006,Comedy,Martin Scorsese,9.6,212000000,825218149
Movie_89,2022,Action,Christopher Nolan,8.2,145000000,378506399
Movie_90,2005,Adventure,Steven Spielberg,8.7,277000000,1141814234
Movie_91,2007,Drama,S.S. Rajamouli,6.6,58000000,227980276
Movie_92,2012,Sci-Fi,Greta Gerwig,8.7,255000000,670040672
Movie_93,2017,Drama,S.S. Rajamouli,9.4,167000000,607510828
Movie_94,2024,Sci-Fi,Steven Spielberg,8.1,189000000,328780438
Movie_95,2014,Comedy,Christopher Nolan,7.6,268000000,480915074
Movie_96,2008,Sci-Fi,S.S. Rajamouli,6.8,284000000,527249154
Movie_97,2019,Adventure,Steven Spielberg,9.8,122000000,238289942
Movie_98,2007,Adventure,Christopher Nolan,6.7,59000000,226183666
Movie_99,2019,Horror,Quentin Tarantino,6.4,127000000,136660586
Movie_100,2007,Comedy,Rajkumar Hirani,6.6,204000000,263290309
Movie_101,2025,Horror,Steven Spielberg,8.5,138000000,364621588
Movie_102,2020,Thriller,Christopher Nolan,6.2,271000000,900228404
Movie_103,2017,Horror,James Cameron,7.3,212000000,417531618
Movie_104,2015,Action,Martin Scorsese,8.7,223000000,277446115
Movie_105,2011,Action,Denis Villeneuve,6.6,53000000,119447568
Movie_106,2023,Drama,Martin Scorsese,9.5,160000000,633719117
Movie_107,2013,Drama,Christopher Nolan,9.1,166000000,522794579
Movie_108,2009,Sci-Fi,Denis Villeneuve,7.4,181000000,271941906
Movie_109,2016,Thriller,Christopher Nolan,9.0,224000000,936245717
Movie_110,2022,Sci-Fi,Steven Spielberg,5.7,230000000,567682219
Movie_111,2009,Horror,S.S. Rajamouli,5.7,85000000,121704901
Movie_112,2018,Romance,Denis Villeneuve,6.8,153000000,352355064
Movie_113,2012,Horror,S.S. Rajamouli,7.9,221000000,274713459
Movie_114,2025,Comedy,Steven Spielberg,6.4,274000000,777181876
Movie_115,2019,Romance,S.S. Rajamouli,7.3,300000000,453571876
Movie_116,2007,Comedy,Martin Scorsese,7.9,183000000,308312607
Movie_117,2013,Sci-Fi,Christopher Nolan,8.7,231000000,512011535
Movie_118,2021,Sci-Fi,Quentin Tarantino,6.7,51000000,134800130
Movie_119,2023,Romance,James Cameron,8.5,290000000,907589669
Movie_120,2011,Drama,Denis Villeneuve,9.4,216000000,492285903
Movie_121,2019,Thriller,Denis Villeneuve,9.1,31000000,39395233
Movie_122,2018,Adventure,Zoya Akhtar,7.6,57000000,128171799
Movie_123,2021,Adventure,S.S. Rajamouli,6.6,75000000,122104615
Movie_124,2009,Drama,S.S. Rajamouli,5.9,40000000,32202173
Movie_125,2009,Sci-Fi,Zoya Akhtar,9.5,175000000,763176595
Movie_126,2025,Horror,Rajkumar Hirani,8.2,77000000,89931819
Movie_127,2014,Sci-Fi,Quentin Tarantino,6.6,20000000,16774161
Movie_128,2014,Adventure,Denis Villeneuve,9.6,144000000,368442088
Movie_129,2012,Sci-Fi,Christopher Nolan,9.6,177000000,177821677
Movie_130,2011,Adventure,Quentin Tarantino,5.8,136000000,444613060
Movie_131,2016,Sci-Fi,S.S. Rajamouli,5.6,193000000,667361053
Movie_132,2016,Thriller,Greta Gerwig,5.5,169000000,597377502
Movie_133,2021,Drama,Greta Gerwig,7.6,122000000,238308486
Movie_134,2011,Sci-Fi,S.S. Rajamouli,6.5,171000000,205769403
Movie_135,2024,Adventure,Zoya Akhtar,6.3,134000000,347689147
Movie_136,2006,Comedy,Quentin Tarantino,5.7,32000000,140935773
Movie_137,2009,Thriller,Christopher Nolan,8.6,114000000,257103091
Movie_138,2015,Drama,Steven Spielberg,9.5,188000000,283039458
Movie_139,2025,Adventure,Christopher Nolan,6.8,213000000,831715988
Movie_140,2015,Adventure,James Cameron,6.0,60000000,110117027
Movie_141,2016,Thriller,Steven Spielberg,7.9,126000000,278016461
Movie_142,2014,Thriller,Steven Spielberg,5.7,262000000,399326928
Movie_143,2022,Adventure,Greta Gerwig,6.9,262000000,238955424
Movie_144,2018,Sci-Fi,Quentin Tarantino,5.7,37000000,93128529
Movie_145,2006,Horror,Greta Gerwig,8.7,193000000,413599939
Movie_146,2015,Action,Denis Villeneuve,8.7,182000000,767975185
Movie_147,2014,Action,Zoya Akhtar,9.4,53000000,47156739
Movie_148,2012,Drama,S.S. Rajamouli,8.6,258000000,1117003039
Movie_149,2017,Horror,Quentin Tarantino,9.0,87000000,368355203
Movie_150,2010,Action,Denis Villeneuve,9.0,97000000,295543543
Movie_151,2015,Romance,S.S. Rajamouli,7.1,60000000,161638421
Movie_152,2017,Comedy,Greta Gerwig,7.3,37000000,95543347
Movie_153,2022,Romance,James Cameron,9.7,73000000,325211216
Movie_154,2013,Drama,Greta Gerwig,5.9,275000000,1225729699
Movie_155,2019,Comedy,Greta Gerwig,6.1,255000000,789260263
Movie_156,2012,Drama,Denis Villeneuve,6.8,157000000,342258875
Movie_157,2013,Sci-Fi,S.S. Rajamouli,6.6,145000000,242347901
Movie_158,2014,Sci-Fi,Martin Scorsese,5.8,148000000,661864922
Movie_159,2021,Sci-Fi,Steven Spielberg,8.3,38000000,44787938
Movie_160,2020,Sci-Fi,S.S. Rajamouli,9.4,40000000,161778563
Movie_161,2012,Drama,Christopher Nolan,6.3,119000000,504755501
Movie_162,2016,Comedy,S.S. Rajamouli,8.1,23000000,27401883
Movie_163,2024,Romance,Greta Gerwig,5.7,194000000,256675016
Movie_164,2011,Horror,Christopher Nolan,8.1,124000000,473004418
Movie_165,2015,Thriller,Martin Scorsese,6.3,179000000,194816195
Movie_166,2006,Adventure,Rajkumar Hirani,7.6,228000000,267930720
Movie_167,2017,Comedy,Rajkumar Hirani,5.9,103000000,233990959
Movie_168,2013,Thriller,Denis Villeneuve,8.4,233000000,1008144096
Movie_169,2014,Romance,Quentin Tarantino,7.3,206000000,656021292
Movie_170,2017,Thriller,Greta Gerwig,9.6,242000000,1000920022
Movie_171,2018,Drama,Steven Spielberg,7.2,206000000,516102732
Movie_172,2010,Comedy,Christopher Nolan,5.7,92000000,291682941
Movie_173,2017,Drama,Zoya Akhtar,8.2,209000000,737314604
Movie_174,2010,Comedy,Martin Scorsese,6.7,286000000,410583206
Movie_175,2007,Drama,Quentin Tarantino,7.6,121000000,231833165
Movie_176,2006,Adventure,Martin Scorsese,5.7,218000000,244005084
Movie_177,2024,Comedy,Greta Gerwig,8.2,120000000,464159339
Movie_178,2010,Sci-Fi,Christopher Nolan,7.2,285000000,393006999
Movie_179,2016,Drama,James Cameron,6.6,118000000,112343837
Movie_180,2022,Action,Martin Scorsese,6.0,253000000,717303524
Movie_181,2025,Horror,Quentin Tarantino,6.8,147000000,349159900
Movie_182,2016,Adventure,Rajkumar Hirani,7.4,31000000,25202378
Movie_183,2020,Adventure,Greta Gerwig,7.4,254000000,989385130
Movie_184,2020,Thriller,Steven Spielberg,5.8,203000000,485822913
Movie_185,2007,Adventure,Rajkumar Hirani,7.7,40000000,38016441
Movie_186,2009,Drama,Martin Scorsese,8.8,281000000,307942681
Movie_187,2021,Thriller,James Cameron,5.6,53000000,237739952
Movie_188,2008,Sci-Fi,James Cameron,9.7,271000000,505458877
Movie_189,2010,Sci-Fi,Steven Spielberg,9.1,149000000,206728494
Movie_190,2024,Horror,S.S. Rajamouli,6.1,277000000,1209939558
Movie_191,2020,Sci-Fi,Zoya Akhtar,6.6,279000000,468267171
Movie_192,2016,Action,Greta Gerwig,6.3,102000000,321842189
Movie_193,2013,Romance,Quentin Tarantino,6.2,155000000,189997634
Movie_194,2021,Action,Martin Scorsese,9.7,251000000,716395778
Movie_195,2023,Drama,Denis Villeneuve,9.8,221000000,780199736
Movie_196,2016,Horror,Quentin Tarantino,9.8,94000000,200495431
Movie_197,2007,Adventure,Greta Gerwig,6.3,44000000,83451217
Movie_198,2021,Horror,Denis Villeneuve,8.2,180000000,632203824
Movie_199,2006,Sci-Fi,James Cameron,6.8,241000000,565251467
Movie_200,2016,Action,James Cameron,7.6,43000000,37946263
Movie_201,2005,Romance,Denis Villeneuve,6.0,202000000,560796138
Movie_202,2018,Horror,Zoya Akhtar,6.1,207000000,643467649
Movie_203,2020,Comedy,James Cameron,5.6,144000000,492141409
Movie_204,2019,Drama,Steven Spielberg,8.2,158000000,361381660
Movie_205,2013,Action,Christopher Nolan,8.3,199000000,597095476
Movie_206,2023,Adventure,Zoya Akhtar,9.5,272000000,467687398
Movie_207,2005,Action,Christopher Nolan,7.8,227000000,337534055
Movie_208,2010,Action,Steven Spielberg,5.6,120000000,159166345
Movie_209,2011,Thriller,Zoya Akhtar,6.3,178000000,184397071
Movie_210,2025,Action,S.S. Rajamouli,8.6,23000000,50326008
Movie_211,2018,Adventure,Steven Spielberg,8.7,251000000,363686297
Movie_212,2008,Horror,Greta Gerwig,8.3,83000000,169436981
Movie_213,2013,Action,Denis Villeneuve,8.2,243000000,810943173
Movie_214,2021,Horror,Denis Villeneuve,8.3,131000000,146203614
Movie_215,2021,Action,James Cameron,6.6,140000000,548012460
Movie_216,2011,Comedy,Martin Scorsese,6.3,219000000,441427084
Movie_217,2012,Thriller,Rajkumar Hirani,7.5,291000000,983925525
Movie_218,2005,Thriller,Greta Gerwig,8.0,177000000,658448647
Movie_219,2017,Drama,Zoya Akhtar,9.4,94000000,86647353
Movie_220,2008,Drama,Zoya Akhtar,9.5,196000000,865616335
Movie_221,2005,Action,Christopher Nolan,6.1,41000000,138536071
Movie_222,2006,Drama,Zoya Akhtar,8.8,122000000,466647318
Movie_223,2022,Drama,Quentin Tarantino,6.0,125000000,193961705
Movie_224,2006,Action,Steven Spielberg,9.0,167000000,428409569
Movie_225,2009,Drama,Greta Gerwig,6.8,192000000,454642929
Movie_226,2005,Romance,Denis Villeneuve,9.5,44000000,151726084
Movie_227,2016,Romance,Zoya Akhtar,7.7,167000000,515632651
Movie_228,2005,Thriller,Christopher Nolan,7.4,70000000,145816451
Movie_229,2006,Sci-Fi,Steven Spielberg,8.0,167000000,238872401
Movie_230,2005,Sci-Fi,Denis Villeneuve,8.8,47000000,38358494
Movie_231,2020,Drama,S.S. Rajamouli,8.5,114000000,499146481
Movie_232,2023,Romance,Rajkumar Hirani,6.6,101000000,186829808
Movie_233,2011,Sci-Fi,S.S. Rajamouli,6.2,61000000,159458837
Movie_234,2022,Drama,Martin Scorsese,7.0,225000000,952980070
Movie_235,2007,Thriller,Christopher Nolan,7.1,175000000,310419035
Movie_236,2022,Comedy,Quentin Tarantino,9.7,139000000,596658100
Movie_237,2009,Action,Martin Scorsese,8.0,287000000,394541470
Movie_238,2019,Romance,James Cameron,7.5,151000000,444382148
Movie_239,2009,Romance,S.S. Rajamouli,8.3,141000000,377668869
Movie_240,2013,Horror,Zoya Akhtar,6.2,99000000,436257275
Movie_241,2015,Romance,James Cameron,6.5,116000000,203828961
Movie_242,2008,Comedy,Steven Spielberg,6.3,97000000,430697586
Movie_243,2014,Horror,Quentin Tarantino,6.7,75000000,237039689
Movie_244,2008,Horror,Greta Gerwig,9.3,257000000,237865563
Movie_245,2017,Thriller,Greta Gerwig,7.7,171000000,429916779
Movie_246,2009,Horror,Zoya Akhtar,8.7,22000000,77912987
Movie_247,2018,Thriller,Greta Gerwig,8.4,137000000,454087477
Movie_248,2025,Drama,S.S. Rajamouli,7.4,153000000,478067576
Movie_249,2008,Thriller,Greta Gerwig,8.9,100000000,172522566
Movie_250,2018,Adventure,S.S. Rajamouli,5.6,229000000,622315144
Movie_251,2010,Romance,Christopher Nolan,7.2,270000000,1123283771
Movie_252,2008,Action,Denis Villeneuve,7.8,102000000,351899947
Movie_253,2011,Romance,Steven Spielberg,9.1,253000000,708863161
Movie_254,2020,Action,Martin Scorsese,7.7,230000000,815535551
Movie_255,2019,Sci-Fi,James Cameron,7.2,82000000,286810907
Movie_256,2024,Romance,Christopher Nolan,6.6,215000000,489948762
Movie_257,2005,Drama,Quentin Tarantino,9.4,200000000,589329687
Movie_258,2008,Sci-Fi,Denis Villeneuve,8.7,289000000,1270026124
Movie_259,2017,Adventure,Greta Gerwig,6.2,55000000,208747985
Movie_260,2025,Sci-Fi,S.S. Rajamouli,8.3,135000000,514912341
Movie_261,2009,Romance,Quentin Tarantino,7.5,170000000,613969508
Movie_262,2025,Comedy,S.S. Rajamouli,7.0,137000000,245157471
Movie_263,2017,Horror,Quentin Tarantino,8.4,266000000,215452470
Movie_264,2013,Romance,Greta Gerwig,8.3,184000000,473677680
Movie_265,2018,Drama,Martin Scorsese,6.2,175000000,693253435
Movie_266,2006,Drama,Zoya Akhtar,9.4,91000000,251469121
Movie_267,2016,Action,Christopher Nolan,6.4,56000000,180714236
Movie_268,2013,Drama,Zoya Akhtar,6.1,139000000,206686725
Movie_269,2019,Romance,James Cameron,6.4,226000000,842798091
Movie_270,2010,Drama,Rajkumar Hirani,8.9,172000000,263206592
Movie_271,2011,Drama,S.S. Rajamouli,8.4,79000000,225445146
Movie_272,2013,Thriller,Greta Gerwig,9.1,262000000,687588575
Movie_273,2006,Adventure,S.S. Rajamouli,9.4,271000000,464032342
Movie_274,2010,Action,James Cameron,9.1,259000000,874067130
Movie_275,2020,Horror,S.S. Rajamouli,7.1,234000000,1052957063
Movie_276,2007,Comedy,Martin Scorsese,8.2,34000000,29786419
Movie_277,2006,Romance,Steven Spielberg,7.7,268000000,965211521
Movie_278,2009,Action,Greta Gerwig,8.6,84000000,172438916
Movie_279,2016,Romance,S.S. Rajamouli,8.8,127000000,235122582
Movie_280,2015,Thriller,Denis Villeneuve,7.9,168000000,316455964
Movie_281,2020,Thriller,Martin Scorsese,7.7,159000000,640765106
Movie_282,2016,Sci-Fi,S.S. Rajamouli,8.9,189000000,285681513
Movie_283,2014,Comedy,Zoya Akhtar,9.7,64000000,236902243
Movie_284,2006,Thriller,Rajkumar Hirani,9.3,299000000,874264939
Movie_285,2017,Horror,Steven Spielberg,5.5,117000000,449427013
Movie_286,2020,Action,Rajkumar Hirani,9.4,212000000,653338809
Movie_287,2025,Drama,Greta Gerwig,5.7,254000000,790835943
Movie_288,2010,Drama,James Cameron,9.2,235000000,861458118
Movie_289,2025,Action,Martin Scorsese,9.2,91000000,337628034
Movie_290,2022,Horror,Denis Villeneuve,6.3,37000000,73199513
Movie_291,2018,Action,S.S. Rajamouli,7.9,40000000,154063923
Movie_292,2018,Thriller,S.S. Rajamouli,5.8,218000000,653409673
Movie_293,2009,Adventure,Quentin Tarantino,7.9,62000000,197449636
Movie_294,2011,Comedy,Christopher Nolan,7.3,24000000,79917983
Movie_295,2008,Drama,Greta Gerwig,9.2,86000000,219095969
Movie_296,2013,Sci-Fi,S.S. Rajamouli,8.7,115000000,484652746
Movie_297,2016,Comedy,Steven Spielberg,6.8,275000000,688639865
Movie_298,2013,Action,Christopher Nolan,5.5,27000000,109844859
Movie_299,2024,Drama,Quentin Tarantino,6.8,104000000,451722652
Movie_300,2020,Action,Martin Scorsese,7.1,244000000,619337283
Movie_301,2010,Comedy,Steven Spielberg,7.1,103000000,322381238
Movie_302,2018,Adventure,Quentin Tarantino,8.8,251000000,1078349008
Movie_303,2023,Romance,Denis Villeneuve,6.7,190000000,763299423
Movie_304,2005,Comedy,Zoya Akhtar,9.1,239000000,1054619492
Movie_305,2012,Thriller,Quentin Tarantino,8.4,139000000,526487705
Movie_306,2014,Action,Martin Scorsese,6.6,236000000,326137281
Movie_307,2006,Horror,James Cameron,9.0,95000000,172257811
Movie_308,2022,Adventure,Martin Scorsese,7.8,296000000,843184157
Movie_309,2017,Sci-Fi,Greta Gerwig,6.8,49000000,162060117
Movie_310,2019,Sci-Fi,Denis Villeneuve,8.0,24000000,89499849
Movie_311,2019,Drama,Rajkumar Hirani,9.0,52000000,86403501
Movie_312,2023,Horror,Rajkumar Hirani,6.9,279000000,831563948
Movie_313,2011,Sci-Fi,Greta Gerwig,5.9,168000000,359932498
Movie_314,2023,Romance,Quentin Tarantino,8.9,96000000,164287479
Movie_315,2020,Romance,Steven Spielberg,7.1,257000000,954288783
Movie_316,2009,Romance,Zoya Akhtar,5.6,163000000,443684405
Movie_317,2005,Drama,Christopher Nolan,6.4,268000000,796182591
Movie_318,2011,Horror,Denis Villeneuve,7.3,248000000,902427648
Movie_319,2024,Comedy,Denis Villeneuve,9.1,193000000,297926325
Movie_320,2010,Thriller,Steven Spielberg,5.6,37000000,105905355
Movie_321,2019,Adventure,Steven Spielberg,9.2,223000000,939269839
Movie_322,2007,Horror,Martin Scorsese,7.9,65000000,282019016
Movie_323,2021,Thriller,James Cameron,7.4,101000000,219409477
Movie_324,2012,Sci-Fi,James Cameron,5.7,151000000,646630227
Movie_325,2006,Action,Christopher Nolan,6.6,282000000,966005268
Movie_326,2025,Adventure,Christopher Nolan,5.9,182000000,653983832
Movie_327,2011,Horror,Zoya Akhtar,8.0,73000000,185542923
Movie_328,2016,Horror,Quentin Tarantino,6.0,266000000,586447656
Movie_329,2019,Sci-Fi,James Cameron,9.4,26000000,65811807
Movie_330,2011,Action,James Cameron,9.5,132000000,143590921
Movie_331,2024,Romance,James Cameron,8.8,69000000,291592453
Movie_332,2017,Action,Steven Spielberg,7.4,193000000,384744067
Movie_333,2012,Adventure,Steven Spielberg,8.2,93000000,188633999
Movie_334,2006,Comedy,S.S. Rajamouli,7.9,94000000,227874123
Movie_335,2009,Horror,Quentin Tarantino,7.3,99000000,88511364
Movie_336,2023,Horror,Martin Scorsese,9.0,153000000,400359025
Movie_337,2015,Adventure,S.S. Rajamouli,6.0,282000000,284920343
Movie_338,2011,Adventure,Denis Villeneuve,6.0,123000000,540165677
Movie_339,2018,Horror,Greta Gerwig,9.5,69000000,154804090
Movie_340,2018,Comedy,Christopher Nolan,9.1,170000000,226796885
Movie_341,2025,Action,S.S. Rajamouli,9.0,194000000,521841060
Movie_342,2019,Action,Rajkumar Hirani,6.7,204000000,491726232
Movie_343,2018,Sci-Fi,Denis Villeneuve,8.0,90000000,352842691
Movie_344,2021,Sci-Fi,James Cameron,6.3,60000000,232031537
Movie_345,2024,Adventure,Denis Villeneuve,6.3,90000000,275940295
Movie_346,2025,Sci-Fi,Zoya Akhtar,6.8,25000000,26076815
Movie_347,2021,Thriller,Christopher Nolan,7.7,197000000,401941420
Movie_348,2025,Adventure,Steven Spielberg,5.6,264000000,341389804
Movie_349,2013,Sci-Fi,James Cameron,7.9,207000000,193686175
Movie_350,2016,Action,Martin Scorsese,7.7,248000000,1087311227
Movie_351,2007,Drama,Martin Scorsese,8.6,184000000,677627860
Movie_352,2017,Action,Denis Villeneuve,9.3,273000000,669347900
Movie_353,2005,Comedy,Christopher Nolan,6.5,65000000,105799606
Movie_354,2010,Comedy,Steven Spielberg,6.8,35000000,30518925
Movie_355,2011,Horror,Christopher Nolan,9.1,257000000,702836324
Movie_356,2019,Drama,Martin Scorsese,9.2,111000000,107351574
Movie_357,2008,Adventure,S.S. Rajamouli,8.0,163000000,196765125
Movie_358,2008,Thriller,James Cameron,7.8,136000000,542100611
Movie_359,2009,Adventure,Quentin Tarantino,6.2,29000000,123802437
Movie_360,2017,Thriller,Zoya Akhtar,9.1,289000000,269916440
Movie_361,2006,Romance,Martin Scorsese,7.2,191000000,658464032
Movie_362,2023,Romance,Quentin Tarantino,9.1,47000000,94096590
Movie_363,2009,Romance,Greta Gerwig,9.2,25000000,53709957
Movie_364,2021,Comedy,Steven Spielberg,6.9,122000000,325455280
Movie_365,2005,Sci-Fi,James Cameron,7.3,223000000,819155812
Movie_366,2019,Action,Christopher Nolan,5.6,156000000,654628807
Movie_367,2024,Horror,Rajkumar Hirani,9.0,38000000,117748844
Movie_368,2013,Drama,Rajkumar Hirani,5.6,141000000,608866721
Movie_369,2014,Drama,Denis Villeneuve,7.0,105000000,130768119
Movie_370,2024,Horror,Steven Spielberg,7.5,293000000,1244701007
Movie_371,2019,Drama,Rajkumar Hirani,6.1,170000000,711904961
Movie_372,2023,Horror,Denis Villeneuve,6.5,64000000,226527568
Movie_373,2014,Adventure,Zoya Akhtar,8.5,133000000,426440850
Movie_374,2011,Romance,S.S. Rajamouli,9.3,175000000,536787796
Movie_375,2020,Horror,Christopher Nolan,6.5,133000000,199310490
Movie_376,2022,Thriller,Zoya Akhtar,7.2,200000000,280097923
Movie_377,2012,Romance,Rajkumar Hirani,6.9,158000000,292905761
Movie_378,2011,Horror,Christopher Nolan,8.8,101000000,286756731
Movie_379,2024,Romance,S.S. Rajamouli,8.3,284000000,634791862
Movie_380,2019,Romance,Steven Spielberg,7.7,99000000,231856177
Movie_381,2016,Comedy,Greta Gerwig,8.2,161000000,617985052
Movie_382,2021,Drama,S.S. Rajamouli,6.7,85000000,197899131
Movie_383,2008,Action,Quentin Tarantino,8.8,80000000,211373423
Movie_384,2023,Comedy,Quentin Tarantino,9.2,163000000,656762325
Movie_385,2024,Drama,Quentin Tarantino,9.2,254000000,473921630
Movie_386,2016,Horror,Martin Scorsese,7.2,216000000,690842386
Movie_387,2005,Adventure,Quentin Tarantino,7.4,114000000,317653565
Movie_388,2009,Thriller,Zoya Akhtar,7.1,138000000,155296921
Movie_389,2015,Romance,Zoya Akhtar,9.1,186000000,289405818
Movie_390,2018,Action,Christopher Nolan,5.7,274000000,523156426
Movie_391,2022,Horror,Rajkumar Hirani,8.2,243000000,659637429
Movie_392,2021,Thriller,Quentin Tarantino,7.5,40000000,120018636
Movie_393,2016,Adventure,Christopher Nolan,8.4,288000000,474711974
Movie_394,2018,Romance,Rajkumar Hirani,7.2,98000000,397428207
Movie_395,2018,Adventure,Quentin Tarantino,7.4,195000000,654973621
Movie_396,2007,Comedy,Martin Scorsese,6.9,58000000,223665890
